Function: sphere_function
Initial Fitness: 0.008901
Final Fitness: 0.000000
Improvement: 0.008901

Fitness by iteration:
  0: 0.008901
  1: 0.004036
  2: 0.002378
  3: 0.002057
  4: 0.001300
  5: 0.001076
  6: 0.000733
  7: 0.000320
  8: 0.000294
  9: 0.000182
  10: 0.000144
  11: 0.000126
  12: 0.000108
  13: 0.000071
  14: 0.000052
  15: 0.000033
  16: 0.000027
  17: 0.000020
  18: 0.000017
  19: 0.000012
  20: 0.000008
  21: 0.000006
  22: 0.000004
  23: 0.000003
  24: 0.000003
  25: 0.000002
  26: 0.000002
  27: 0.000001
  28: 0.000001
  29: 0.000001
  30: 0.000001
  31: 0.000001
  32: 0.000001
  33: 0.000001
  34: 0.000001
  35: 0.000000
  36: 0.000000
  37: 0.000000
  38: 0.000000
  39: 0.000000
  40: 0.000000
  41: 0.000000
  42: 0.000000
  43: 0.000000
  44: 0.000000
  45: 0.000000
  46: 0.000000
  47: 0.000000
  48: 0.000000
  49: 0.000000
  50: 0.000000
